表名,字段名,字段类型,字段说明
dws.dws_ipd_ipm_qihua_hit_detail_dd,dt_month,VARCHAR(100),统计月份（YYYYMM格式）
dws.dws_ipd_ipm_qihua_hit_detail_dd,data_type,VARCHAR(100),数据类型（型号口径/项目口径/事业部口径）
dws.dws_ipd_ipm_qihua_hit_detail_dd,salemodel_code,VARCHAR(300),销售型号编码（型号口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,salemodel_name,VARCHAR(300),销售型号名称（型号口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,project_code,VARCHAR(300),项目编码
dws.dws_ipd_ipm_qihua_hit_detail_dd,project_name,VARCHAR(300),项目名称
dws.dws_ipd_ipm_qihua_hit_detail_dd,sku_count,INT,项目下SKU数量（项目口径/事业部口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,pc20080,VARCHAR(1000),归属营销部（项目口径为去重合并文本，事业部口径为单个）
dws.dws_ipd_ipm_qihua_hit_detail_dd,product_big,VARCHAR(200),产品大类（型号口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,product_mid,VARCHAR(200),产品中类（型号口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,product_sml,VARCHAR(200),产品小类（型号口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,sale_brand,VARCHAR(200),销售品牌（型号口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,listing_date,DATETIMEV2(0),上市时间（型号口径=SKU上市时间，项目口径=项目最早上市时间）
dws.dws_ipd_ipm_qihua_hit_detail_dd,stop_production_date,DATETIMEV2(0),停产时间（PG00027，项目口径=所有SKU都停产才有值）
dws.dws_ipd_ipm_qihua_hit_detail_dd,stop_order_date,DATETIMEV2(0),停止下单时间（PG00026，项目口径=所有SKU都停止下单才有值）
dws.dws_ipd_ipm_qihua_hit_detail_dd,shangshi_month,INT,上市月份数
dws.dws_ipd_ipm_qihua_hit_detail_dd,cum_sales_qty,"DECIMALV3(20,4)",累计销量
dws.dws_ipd_ipm_qihua_hit_detail_dd,recent_12m_qty,"DECIMALV3(20,4)",近12个月销量（阶段5-7使用，型号/项目级别）
dws.dws_ipd_ipm_qihua_hit_detail_dd,max_rolling_12m_qty,"DECIMALV3(20,4)",累计连续12个月最大销量（项目口径/事业部口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,plan_first_year_qty,"DECIMALV3(20,4)",首年规划量（HX00020）
dws.dws_ipd_ipm_qihua_hit_detail_dd,sales_progress,"DECIMALV3(20,4)",销量进度（项目口径/事业部口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,time_progress,"DECIMALV3(20,4)",时间进度（项目口径/事业部口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,stage,INT,阶段（1/2/3/41/42/43/5/6/7，项目口径/事业部口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,stage_label,VARCHAR(100),阶段标签（项目口径/事业部口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,is_hit,VARCHAR(100),是否达标（Y/N，项目口径/事业部口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,hit_type,VARCHAR(100),达标类型（项目口径/事业部口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,is_stopped,VARCHAR(100),是否停产（Y/N）
dws.dws_ipd_ipm_qihua_hit_detail_dd,is_stop_order,VARCHAR(100),是否停止下单（Y/N）
dws.dws_ipd_ipm_qihua_hit_detail_dd,lifecycle_status,VARCHAR(200),销售型号生命周期状态（PG00057，型号口径使用）
dws.dws_ipd_ipm_qihua_hit_detail_dd,is_in_hongheibang,VARCHAR(100),是否上红黑榜（Y=阶段1/2/3/41/42/43，N=阶段5/6/7）
dws.dws_ipd_ipm_qihua_hit_detail_dd,is_kaohe,VARCHAR(100),是否考核（Y=阶段41/42/43，N=其余阶段）
dws.dws_ipd_ipm_qihua_hit_detail_dd,load_dt,DATETIMEV2(0),加载时间
,,,
ads.ads_ipd_ipm_qihua_hit_result_dd,dt_month,VARCHAR(100),统计月份（YYYYMM格式）
ads.ads_ipd_ipm_qihua_hit_result_dd,pc20080,VARCHAR(1000),归属营销部
ads.ads_ipd_ipm_qihua_hit_result_dd,stage,INT,阶段（1/2/3/41/42/43为红黑榜阶段，99为不达标合计）
ads.ads_ipd_ipm_qihua_hit_result_dd,stage_label,VARCHAR(100),阶段标签（stage=99时为"不达标合计"）
ads.ads_ipd_ipm_qihua_hit_result_dd,hit_type,VARCHAR(100),达标类型（stage=99时为"合计"）
ads.ads_ipd_ipm_qihua_hit_result_dd,total_project_cnt,INT,该阶段/营销部总项目数
ads.ads_ipd_ipm_qihua_hit_result_dd,total_sku_cnt,INT,该阶段/营销部总SKU数
ads.ads_ipd_ipm_qihua_hit_result_dd,fail_project_cnt,INT,不达标项目数
ads.ads_ipd_ipm_qihua_hit_result_dd,fail_sku_cnt,INT,不达标SKU数
ads.ads_ipd_ipm_qihua_hit_result_dd,hit_rate,"DECIMALV3(20,4)",达标率（1 - 不达标项目数/总项目数）
ads.ads_ipd_ipm_qihua_hit_result_dd,load_dt,DATETIMEV2(0),加载时间
