字段,数据类型,备注
business_unit,varchar(300),事业部
product_big_class,varchar(300),产品大类
product_mid_class,varchar(300),产品中类
product_small_class,varchar(300),产品小类
category_segment,varchar(300),品类细分
dt_wmcode,varchar(6),日期
o2o_type,varchar(2),线上线下
wm_type,varchar(2),数据维度（周/月）
prdct_line_name,varchar(80),品线名称
markt_center,varchar(200),营销中心
province,varchar(200),省份
city_name,varchar(300),城市名称
city_level,varchar(80),城市级别
hisense_city_level,varchar(80),海信城市级别
channel_type,varchar(80),渠道类型
top,varchar(10),TOP客户(奥维定义)
hisense_agency,varchar(200),海信办事处
if_top,varchar(20),是否海信定义TOP客户
sale_qty,decimalv3(20:4),销量
sale_amt,decimalv3(20:4),销额
prdct_model,varchar(100),型号名称
brand_series,varchar(300),品牌系列
brand_name,varchar(100),品牌名称
sub_brand_name,varchar(100),子品牌名称
core_spec,varchar(300),核心规格
prdct_cate_dtl,varchar(100),产品属性
energy_level,varchar(100),能效等级
freq,varchar(100),变频定频
if_laser,varchar(100),是否激光（电视）
online_week,varchar(20),上市周
online_month,varchar(20),上市月
door_diverse,varchar(100),门体分类
if_fresh_ac,varchar(10),是否新风空调
washing_type,varchar(50),洗涤类型
tec_type1,varchar(50),屏幕类型
product_4_segment,varchar(50),四分法档次
