数据源名称,数据库名称,表名称,字段中文名称,字段名称,类型,默认值,聚合类型,主键,允许为空,描述,安全分级,基础标准编码,是否分区列,来源信息
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,统计月份,dt_month,VARCHAR(6),,,是,否,统计月份（YYYYMM）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,项目名称,projectname,VARCHAR(200),,,,是,项目名称,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,产品线原值,hbmtpproductline,VARCHAR(200),,,,是,产品线原值（A1/BOX等）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,事业部,business_division,VARCHAR(50),,,,是,事业部（光模块/终端）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,产品线展示名,product_line_display,VARCHAR(100),,,,是,产品线展示名（TELECOM/BOX等）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,项目分类原值,hbmtpderivetype,VARCHAR(200),,,,是,项目分类原值（PS1/PA2等）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,项目分类分组,derive_type_group,VARCHAR(10),,,,是,项目分类分组（PS/PA/PB/PC1/PC2/HW/FH）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,项目状态,projectcurrent,VARCHAR(60),,,,是,项目状态（中文：活动/暂停/取消等）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,项目类型,hbmtpprojecttype,VARCHAR(200),,,,是,项目类型,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,项目经理,productowner,VARCHAR(200),,,,是,项目经理,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,开发计划完成时间（变更后）,hbmtpdesignestimatededate,DATETIMEV2(0),,,,是,开发计划完成时间（市场因素变更后）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,开发实际完成时间,hbmtpdesignactualedate,DATETIMEV2(0),,,,是,开发实际完成时间,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,鉴定计划完成时间（变更后）,hbmtpproductionestimatededate,DATETIMEV2(0),,,,是,鉴定计划完成时间（市场因素变更后）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,鉴定实际完成时间,hbmtpproductionactualedate,DATETIMEV2(0),,,,是,鉴定实际完成时间,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,开发阶段延期标记,is_design_delay,VARCHAR(2),,,,是,开发阶段延期标记（Y/N）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,开发计划+3工作日截止日期,design_deadline_date,DATETIMEV2(0),,,,是,开发计划+3工作日截止日期,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,鉴定阶段延期标记,is_production_delay,VARCHAR(2),,,,是,鉴定阶段延期标记（Y/N）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,鉴定计划+3工作日截止日期,production_deadline_date,DATETIMEV2(0),,,,是,鉴定计划+3工作日截止日期,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,项目情况,project_situation,VARCHAR(20),,,,是,项目情况（结题/延期/暂停/终止/正常）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,是否纳入合计分母,in_total_flag,VARCHAR(2),,,,是,是否纳入合计分母（Y/N，终止为N）,敏感级,,,
ds_rd_rw,dws,dws_ipd_itd_project_impl_rate_dd,加载时间,load_dt,DATETIMEV2(0),,,,是,加载时间,敏感级,,,
ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,统计月份,dt_month,VARCHAR(6),,,是,否,统计月份（YYYYMM）,敏感级,,,
ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,维度类型,dim_type,VARCHAR(50),,,,是,维度类型（事业部产品线/事业部小计/项目经理）,敏感级,,,
ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,事业部,business_division,VARCHAR(50),,,,是,事业部（光模块/终端）,敏感级,,,
ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,产品线展示名,product_line_display,VARCHAR(100),,,,是,产品线展示名（事业部维度有值，项目经理维度为NULL）,敏感级,,,
ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,项目经理,productowner,VARCHAR(200),,,,是,项目经理（项目经理维度有值，事业部维度为NULL）,敏感级,,,
ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,合计项目数,total_count,INT,,,,是,合计项目数（正常+延期+暂停+结题）,敏感级,,,
ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,正常项目数,normal_count,INT,,,,是,正常项目数,敏感级,,,
ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,延期项目数,delay_count,INT,,,,是,延期项目数,敏感级,,,
ds_rd_rw,ads,ads_ipd_itd_project_impl_rate_result_dd,暂停项目数,hold_count,INT,,,,是,暂停项目数（累计）,敏感级,,,
