数据源名称,数据库名称,表名称,字段中文名称,字段名称,类型,默认值,聚合类型,主键,允许为空,描述,安全分级,基础标准编码,是否分区列,来源信息
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,事业部,business_unit,VARCHAR(300),,,是,否,事业部,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,产品中类,product_mid_class,VARCHAR(300),,,,是,产品中类,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,产品小类,product_small_class,VARCHAR(300),,,,是,产品小类,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,品类细分,category_segment,VARCHAR(300),,,,是,品类细分,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,统计渠道,channel_type_agg,VARCHAR(10),,,,是,统计渠道（总体/线上/线下）,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,统计品牌,stat_brand,VARCHAR(300),,,,是,统计品牌（含小天鹅/三星；不含总体品牌行）,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,3年前值,val_y3,VARCHAR(50),,,,是,3年前【额占有率，产品均价】拼接值,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,2年前值,val_y2,VARCHAR(50),,,,是,2年前【额占有率，产品均价】拼接值,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,1年前值,val_y1,VARCHAR(50),,,,是,1年前【额占有率，产品均价】拼接值,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,当年T值,val_curr,VARCHAR(50),,,,是,当年T【额占有率，产品均价】拼接值,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,去年同期值,val_y1_ytd,VARCHAR(50),,,,是,去年同期【额占有率，产品均价】拼接值,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_industry_brand_dd,ETL加载日期,load_dt,DATETIMEV2(0),,,,是,ETL加载日期,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,事业部,business_unit,VARCHAR(300),,,是,否,事业部,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,品线名称,prdct_line_name,VARCHAR(80),,,,是,品线名称,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,产品中类,product_mid_class,VARCHAR(300),,,,是,产品中类,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,产品小类,product_small_class,VARCHAR(300),,,,是,产品小类,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,品类细分,category_segment,VARCHAR(300),,,,是,品类细分,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,线上线下,o2o_type,VARCHAR(10),,,,是,线上线下（固定=线上）,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,价格段,price_segment,VARCHAR(50),,,,是,价格段,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,规格段,spec_segment,VARCHAR(50),,,,是,规格段,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,统计品牌,stat_brand,VARCHAR(300),,,,是,统计品牌（总体/海信系列/…）,敏感级,,,
ds_rd_rw,ads,ads_ipd_ipm_aowei_price_spec_brand_online_dd,3年前值,val_y3,VARCHAR(50),,,,是,3年前【额占有率，产品均价】拼接值,敏感级,,,
